"","Heading","Text","Rating","Time"
"1","Amazing phone","I’m a 1st time buyer of a iPhone I have always been a Samsung user
All I can say apple makes a great phone experience 
I’m hooked and will never go back to Samsung",5,2019-12-27 22:07:00
"2","Best phone ever","Love this phone! Best investment in the world! I absolutely love this! And I love the help I got! Thank you Doug for everything and how patient you were",5,2019-11-12 23:11:00
"3","Great Value","Besides the beautiful color, there's a significant memory increase and better battery life. Camera is much clearer. Love the instore pickup from best buy. Body of phone seems much sturdy than my XR which  kinda felt a little plastic now compared to the 11. Only took an hour to get my new phone.  Spent only about 3 minutes in store. Will be ordering all my phones from here for now on.",5,2019-12-28 10:05:00
"4","Awesome Phone","Two of my favorite upgrades; much better battery life (it’s phenomenal) and night mode. Low light photos look amazing.",5,2019-10-18 16:20:00
"5","My daughter loves it!","We love the camera on the iPhone 11, it takes great pics.",5,2019-12-27 17:33:00
"6","Best iPhone","I originally Purchased the 11 Pro Max. It’s a great phone, but I started noticing it was giving me nasty headache through the day. No matter the brightness. I ended up finding out that since they’re using OLED screen in the 11 pros, it exhibits a phenomenon called PWM. You can research it. Not everyone is effected, but I am. And I had to return it. 

With that out of the way, I can tell you how much I love my 11! It’s got a traditional LCD screen that looks great, and has all of the important stuff the pro’s have. AND it’s cheaper. WAY cheaper. 

Only issue I have is getting used to holding it. I’ve been using iPhone Plus models for years, so going to something more narrow will take some adjusting. 

Otherwise, epic device really.",5,2019-11-30 23:25:00
"7","I phone 11 review","I have to say that i was a android man and was not found of I phones, ever since i heard of them getting sued for there phones. Which was something I didn’t want to be in the middle of. I felt like a customer that Purchase one of the phones will be caught paying a price later on. Its just my opinion for any one trying to use what Im saying down the line and it just might of been a excuse I made up not to spend that kind of money on a phone. I have changed my mind on the whole I phone view and I’m glad I purchased one but whats even better that I got it from best buy. I always seen and experience best buy to stand behind their product they sell or promote.   So I believe in best buy and know that no matter who made the product they still make it right with you to the best of their knowledge. I mean they are great and helpful especially during the holidays. I purchased a playstation from during Christmas and I thought that since it was a lot of people that I would have to assist my self but that was not the case. Also any time they had to look up something on my account, they where their like if I didn’t have to explain my self to be understood on what I wanted. Thank you Best Buy for your employs and for make my experience with my son some of the best. I guess thats why y'all are called best buy.",5,2020-03-01 05:46:00
"8","Dual camera rocks for R family","I love the camera especially! The lighting is spectacular!",5,2020-02-07 16:59:00
"9","Excellent upgrade!!!","So this was the replacement for my wife’s iPhone Xr she owned for all of 2.5-3 weeks prior to the 11 release the talked about stats and the camera upgrades where the main reason I felt she needed the update Needless to say she is loving all the options she knows of and there are so many more she is just not aware of yet This will be a three to four year refresh item.",5,2019-09-29 22:29:00
"10","Great phone, super fast, wonderful camera!","I had been crawling along with a iphone 6 for a number of years.  I finally bit the bullet and upgraded to an iphone 11.  WOW!  The difference between a 6 and 11 is profound!!  This phone is so fast!  And I thought the facial recognition was just a fad feature, but it makes getting into and using the phone so much easier!  The only thing that prevents this from being a 5-star rating is the cost.  Alas, iphones are expensive!  No getting around that!",4,2020-02-28 15:52:00
"11","Great upgrade","Upgraded from and iPhone 6 and it feels like a massive upgrade. If you’re reading this then you probably figure you can get more info from Apple’s website directly. I’ll saw I owned my previous iPhone for 5 years until I felt it needed replacing. Hopefully the new ones will do the same.",5,2020-02-07 21:18:00
"12","Great phone","Upgraded from and iPhone 6 and it feels like a massive upgrade. If you’re reading this then you probably figure you can get more info from Apple’s website directly. I’ll saw I owned my previous iPhone for 5 years until I felt it needed replacing. Hopefully the new ones will do the same.",5,2020-02-07 21:18:00
"13","Love it","Went from 8 plus to 11. Absolutely love it. Yes, the camera is better and the night mode is super. What I like the most though is the smaller size but bigger screen. Much better size for the pocket and hand.",5,2019-10-04 19:48:00
"14","Great Phone","I upgraded from an iPhone X. The 11 is definitely faster and the screen is a little larger. The battery life and sound quality is amazing. I don’t really miss or notice the OLED screen. I also watch movies on my iPad Pro. The camera is great and dark mood is really cool. I am also really happy to be able to get the 128GB size and save some money. I love this new iPhone and highly recommend it.",5,2019-09-27 22:10:00
"15","Love, love, love it!","I bought the red iPhone 11.  I upgraded from the iPhone 6... boy what a change!  It does so much more than the older models.  I like that it types out messages on your voice messages....the technology is outstanding...I can’t believe I waited so long to upgrade my phone!  Love it!

Great phone!",5,2020-01-10 17:33:00
"16","Upgraded Apple products!","The products were to be expected, but Teddy and Cat were great!! These ladies assisted us in a return, switching wireless carriers, and upgrading devices. They were legit!! Hands down the best experience with a wireless carrier and they aren’t even wireless carriers! Their knowledge and personalities were by far the best ever! Thanks, Teddy and Cat!!!",5,2019-10-11 16:08:00
"17","Good snug fit leather case for iPhone 11","The case snaps fit easily without having to struggle to put the phone in or pop it out. The leather texture feels soft yet sturdy enough for the phone, and gives a hard shell covering around the bezel. What I liked is a small pocket at the back of the cover where you can slide in two credit cards - at least.",5,2020-01-03 16:04:00
"18","Much need upgrade","I had debated if I would upgrade to the 11 from my SE. But 48 hours later I’m glad I did. I have a few new features like a better screen and cameras. For the price it’s a great upgrade",5,2019-09-22 08:20:00
"19","Major upgrade","Upgraded my son's 6s to the 11. He had a 64GB 6s and had almost 30GB of free space so he didn't need/want any larger capacity. He loves this phone. It's a huge upgrade in capability. If you have any iPhone older than an 8, I highly recommend upgrading to the 11. You will not be disappointed.",5,2020-01-04 08:36:00
"20","Love Apple Products!","I’ve come  to find out people either Love Apple or Hate it. My family and I are Apple lovers! lol. We have all Apple products ( MacBook, iPad, iPod, AirPods, and phones) and love how they connect so easily to each other. This phone is no different. We love it!",5,2020-01-10 16:59:00
"21","Amazing phone!!","The ease of switching over my phone was Kri the staff explained everything perfectly to me Dustin was a huge help and spent a ton of time with me to make sure I understood my phone and how to get all of my information switched over. Overall an amazing experience with the mobile team and Best Buy as a whole",5,2019-12-20 20:32:00
"22","Apple does it right","Apple does it right with the iPhone 11!
I purchased two of these phones for my children who won’t need a phone for two or three more years after this. Although the look of a change in the future this phone has all the features that could carry you to the three years without phone envy",5,2019-12-28 08:41:00
"23","Great IPHONE!!","Apple finally came out with a red phone! It’s still strange not having a button to push to get out of a window. The 11’s battery lasts a lot longer than the older models! It’s great!",5,2020-02-07 19:40:00
"24","Amazing upgrade","This is the upgrade to my wife's 6Plus. She absolutely loves the red color and added a clear glitter case to go with it. Her biggest complaint about the 6Plus was the overall size of the phone, but this 11 solves that issue. This 11 has a larger screen yet an overall smaller footprint. Now her phone fits in the designated phone space in her purse and fits pockets way better. Plus the speed and screen resolution is amazing.",5,2019-10-26 05:12:00
"25","Perfect phone for my aging wife...","My wife is older than me (2 months) and neither one of us can see that well anymore. Both of us have glaucoma. So, this new iPhone 11 is perfect for her. She can read everything on it...and is actually beginning to understand some of the settings.",5,2020-01-04 12:47:00
"26","busy","have not really got into  what I can do and not do..  I had to look up how to turn the phone off and on.. LOL.. got a lot to learn... am 73 and hope I will take better night pictures.. etc.",5,2019-12-06 19:12:00
"27","Love my iphone","Continuing my ownership of iPhones with the iPhone 11 has not disappointed. I really like the size, speed, Face ID, etc.",5,2020-02-29 07:11:00
"28","Incredibly fast","Bought in January 2020, it seems flawless so far. This was an upgrade from an iPhone 6. It is obviously a much much better iPhone than the one I had. Incredibly fast.",5,2020-02-08 07:49:00
"29","The support tech that set up my iPhone was great!","Exemplary tech support set up!!  I was in and out in a short amount of time. He explained everything he did and I was up and running on my new iPhone with all my apps and data transferred in less than 45 minutes!!",5,2020-01-17 16:09:00
"30","Great phone","I had the iPhone 7 and I switched to the iPhone 11. Extreme upgrade and I love it. I love everything about this phone.",5,2020-02-28 16:17:00
"31","Decent Price, Great Looking Phone","Purchased as a replacement for an older iPhone.  The Best Buy Staff were professional, transferred existing data from the old phone, fully explained the features, and installed purchased protective glass.  Highly recommend this model with 128GB instead of the 64GB as it provides double the storage for a minimal cost.  The camera system is awesome, even if it is not the Pro...!!!",5,2019-11-03 07:25:00
"32","Great phone","I needed a new phone because my apps would no longer work on my 7.  I like the size of the screen on this 11, it is so much larger and more clear.",5,2020-02-15 08:39:00
"33","Phone is good getting data on new phone PAINFUL!","didn't really want a new phone, but my old iphone 5 was starting to fail.  Purchased at your store and sales person said to get my contacts saved on my old phone would be as simple as plug in to my home computer where it was saved, and restore.  IT WAS NOT!  Finally got my phone set up after about a week on my own.  Just purchased same phone from Target for my husband and his sales person was able to wirelessly transfer ALL of his data to his new phone IN THE STORE, not using the cloud.  It was amazing! Too bad my sales person was not as skilled!!!",4,2019-12-03 13:26:00
"34","Great phone","I upgraded to the 11. There was several things different than my previous I-phone. It was easy to adjust",5,2020-02-28 20:12:00
"35","Great iPhone for the price","This iPhone is a very nice phone, it is fast, takes great pictures and the screen is very good as well",5,2020-02-28 16:21:00
"36","Apple Rocks","This is my 6th iPhone. They keep getting better and better.  The camera on this thing is amazing. Face ID rocks. It’s fast as lightening and the battery last forever. Only Wish it came w a wireless charger instead of the cable.  But other than that. Can’t go wrong w iPhone.",5,2019-09-28 23:09:00
"37","Love it","We love our new iPhones! Highly recommend. We upgraded from iPhone 7 to 11 and well worth the money.",5,2020-02-29 07:17:00
"38","Daughter loves it","Tech at Best buy was great , I really did a great job with Daughter . she is special needs and he did great with her.made sure that all was taken care of before we left",5,2020-01-27 09:12:00
"39","Great phone!","Went from an iPhone 6s to an iPhone 11 and it was a great upgrade. If you like to take pictures and selfies, the cameras do well. Overall performance and speed is excellent.",5,2020-01-24 20:11:00
