"","X1","Heading","Text","Rating","Time"
"1",1,"Great product for a first time Apple user","I've never owned an Apple product but this year I took the plunge to move from Android (Pixel phones, Samsung phones) to get this iPhone 11. It was the right time for me to do so. With the changes and improves iOS13 brings (from all that I've read and watched in reviews/vids) and the camera upgrades from XR; the transition has been fairly easy. I know there is a learning curve for me as I slowly learn the iOS system. But I changed to have the best of both worlds. And it is true the Google apps in iOS do run better than on Android.

The phone performance has been stellar. NO lag. NO freezes. I had prepared myself to have a smooth experience with iOS, but I have still been surprised and pleased with the fluidity. Never have I experienced anything so smooth on any of the many Android phones I've used over the years. The battery is a superstar champ. It feels as if I cannot kill it if I were to try. Even though I am never far from a charging option, it is so refreshing to not feel battery anxiety.

Siri is WAY better than I was led to believe. In fact I find her to be more responsive and less buggy than Google Assistant - especially when using Apple CarPlay. This was a surprise to me due to all I've read. Voice to text is admittedly not as accurate as Assistant. 

I already knew the iPhone cameras take the best videos, but the updates to the photos themselves are phenomenal. The auto night mode is fantastic - I like it better than Pixel's Night Sight. It seems more natural. True the Portraits are sometimes not as well defined as on the Pixel phones - but that is something that is not a game changer for me. I like the fact that photos on the iPhone 11 are not over sharpened as is true on the Pixel lineup (I've had all 3 Pixel phones so I'm not spinning my wheels here).

True tone is fantastic. The color (mint green) is the prettiest color I've had on a phone. I have no issues with the LCD screen versus OLED - it's a great screen. The gestures are great and smooth and easy to learn. 

I've been so pleased with this that I'm not looking at (researching) buying one of the Macbook laptops (tablets are not for me). 

This is a fantastic phone. No looking back.",5,2019-10-06 11:43:00
"2",2,"Very good phone and camera","High quality phone that still has about 50 % charge at the end of the day. Very good camera especially if you edit with Camera+.",5,2019-10-18 18:21:00
"3",3,"Bought 2","Wife needed one bought her and I one. Love low light camera function",5,2019-12-07 08:13:00
"4",4,"Love it","I’m already an iPhone user for many years. But really impressed with how much easier it is. Camera is much better. Longer battery life! Much more memory! Love it!!!",5,2020-01-18 17:46:00
"5",5,"Amazing pics and footage!","Love my new iPhone 11! It’s fast and the camera is amazing. Video quality is excellent.",5,2020-01-03 16:22:00
"6",6,"Great phone for the price","This review is based on upgrading from an iPhone X to an 11, hopefully it helps those who are in the same situation. 
There were a few reasons I chose to upgrade, I wanted a slightly bigger screen, I wanted better battery life, and I wanted better speed (I play quite a bit of games on my phone). I had also made the mistake of getting an X with only 64gb which was a bad idea to begin with. This phone fortunately covers all those issues. The battery life is great and the speed at which this phone opens apps is incredible. The camera with the wide angle is also a big bonus, I’ve never been a big photographer with my phones, but I’ve found myself using this phone a lot more for that purpose.
The one downside to this phone is the quality of the screen, this is more evident with the new dark mode in iOS13. Black screens on this phone aren’t really black, they’re more of a dark grey and this is due to the OLED vs LCD screen.
I still own my X and once I upgraded it to iOS13 I could see the difference in dark mode, on my X the black backgrounds seem truly black while on the 11 the blacks seem a little lighter. Does this make the upgrade not worth it? I guess it depends how much the lighter blacks bother you. Personally, after a month of use I don’t notice it much anymore.
At $749 for the 128gb I would highly recommend this phone, if the LCD screen bothers you that much then I would recommend going for the Pro but at the price point I’m not sure extra deep blacks are worth it.",5,2019-10-21 13:03:00
"7",7,"Fantastic upgrade","Upgraded to the 11, 128gb from an 8+ 256gb. Never needed 256 with the 8+ But that was the next size up from 64gb. 128gb is perfect. I’m able to keep all of my photos and all of my music on this phone with 60+gb left. A lot of talk about how the pro screen is so much better than the 11’s LCD screen. But going from the 8+ that already had an LCD, this screen seems sharper and more vibrant. The thing that really stands out is the speed. This thing just flies. I can click a link or open a new app and it loads almost as quickly as snapping your fingers. The camera on the 8+ was already pretty good, but again the 11 shines better here. I love the wide angle lense and the night mode. I used to hate taking low-light pics due to the flash making things seem so white. What I like most is gaining some screen size compared to my 8+, but in a smaller form factor. Overall I am extremely satisfied with my upgrade and would definitely do it again. For most people, the iPhone 11 is the upgrade that is worth every penny!",5,2019-09-22 16:19:00
"8",8,"A screen I can see without the bulk of a PLUS","I left a 7 for this 11. It gives me a visual screen that I can see without the bulk of the iPhone 7+ which my husband is very happy with. 

It’s taken a bit to get the hang of it but I had excellent help getting started with the help of Joshua in the mobile department. Later I went back in to my geek Michael who went step by step through the questions that had cropped up. 

If you haven’t used anything past iPhone 8 be sure to play around and make a list of what you’re stuck on. Take it to mobile or geek squad. If it’s easier, call Apple. 

Enjoy your new iPhone!!!

Very important to me is that this phone doesn’t have the OLED screen. I’m extremely light sensitive and get migraines. This is the only phone I can use. If Apple  switches to all OLED screens in the future I’m off iPhone.",5,2019-09-27 15:30:00
"9",9,"Amazing camera","The only thing that really sperates phones these days seems to be the cameras. I had a pixel 2 xl (now on galaxy s10e) which takes the best pictures. My wife bought the iPhone 11 and I am thinking about switching to it. The camera is AMAZING. Battery life is great and the new iOS adds a lot of shortcuts that apple was missing. For 699 apple hit a home run with this phone. Even tho the screen is lower resolution the colors and brightness are astounding. I'm not an Apple fan but may be...I just haven't switched yet because I still love Android but I'm on the fence.",5,2019-10-13 09:22:00
"10",10,"Best iPhone to this day! Right size right price.","The iPhone 11 is an amazing phone. I had a XS Max before, and traded it in to get this, and I am so happy I did. This is what I consider the “Goldilocks” iPhone; it’s just right. The size, both screen and body, is perfect, being in between the 11 Pro and Pro Max. It’s not as good a screen as the Pro’s OLED, but it’s still pretty darn good. The colors are amazing and it still is a very high-definition screen. Why spend extra for a better screen? You’re getting the same processor, which is wicked fast, and ALL the same features as the Pro! I am so glad that I switched from the XS Max because I can enjoy all of the same great features of the Pro model for a fraction of the cost. I would HIGHLY recommend considering buying the 11 over the Pro series.",4,2019-09-29 17:16:00
