"","Heading","Text","Rating","Time"
"1","Solid Update & Great Performing Camera","Having owned my old iPhone 7 Plus for 3 years but still running great, I hadn’t thought much about buying another phone until the 11 Pro was announced. I liked what Apple offered on it and made the investment. I wasn’t disappointed and even surprised in other features like the fact it can use AT&Ts 5GE network which isn’t real 5G but LTE using multiple antennas to double up the bandwidth. Cool! As for the camera and battery, the reason I bought it, didn’t disappoint me. Taking pics is now a lot more powerful and faster yet keeps it simple and battery life helps enjoy it for longer as it’s the best I’ve ever had on any smartphone. I’ve been averaging about 15 hours of heavy usage in the last couple of days. Everything from enjoying music and videos, texting, phones calls, IG & Snapchat. Even did some video editing after capturing some video and taking pictures. I’m sure I can improve the life once the novelty of it goes away and I don’t turn it on unnecessarily. LoL As always its way faster and the screen looks amazing in any light. Though a little heavier than any phone I’ve used, the Midnight Green looks awesome in my opinion. As to why I like using an iPhone, I know there are lots of choices running Android but the simplicity of taking pics and video, editing them and syncing them across my devices and posting them while on the move are key for me. So, that’s my take on the iPhone 11 Pro Max after the last 4 days.",5,2019-09-23 21:15:00
"2","Pretty impressive!","I waited to upgrade my 8 plus even though i could have done so when the 11 was out. Watched alot of reviews  and finally upgraded about 2 weeks ago and oh boy iam impressed with the improvement on the camera department!although its not like day and night different! I could care less about other features tbh, to me the best camera is the one that you always have in your pocket. Thats why i upgraded and it was because i was due to upgrade. If i wasnt id rather wait untill my 8 plus paid off and skip this gen of iphone and wait for the 12 or something. The camera is worth the upgrade from my 8 plus but still i dont think it deserves the ridiculous 1250 dollar price tag. If you have the 8 plus or the x series and they are not paid off yet, trust me you can wait but if you want to be that guy/girl who always wants to have the latest and the greatest from apple and have tons of money to burn, well no one can stop you doesnt matter how many honest reviews you have read or watch.",5,2019-10-31 18:32:00
"3","Love it","I wasn’t gonna upgrade from the X but the screen broke and to fix it it was gonna cost $300 which is more than what I needed to pay to upgrade so I did it lol. The camera is awesome and the battery life is great. Fast charging is a complete game changing too. I know people will say Samsung is better but for me with everything I own is Apple this phone is perfect for me and I like the iOS VS android so IMO if you’re looking for a new phone with a great camera get this one.",5,2019-10-18 18:23:00
"4","Wow! Just wow!","Ok, so I went from the X to this phone and was not sure if I’d see a real difference. But you can tell! I got the Max and while it does feel slightly larger it is not bad at all. My two big things I love is the camera at night and the battery life. 

I did multiple side by side pictures at night using the wife’s iPhone X and the 11. Noticeable difference. Some of the night pictures come out a little yellowish but it is still better than getting nothing like I was before. The two pictures below were in different lighting environments and they both came out great. The one of the vehicles was taken at about 4am with no lights on whatsoever. 

Battery life is great and lasts all day. Need I say more?!",5,2019-10-17 16:39:00
"5","What a camera!","I’ve never seen night photos on a cellphone like this one. Completely unreal. Also the brightness and resolution of the screen is mesmerizing.",5,2019-09-27 16:26:00
"6","amazing camera and improved sound quality","The sound quality is far improved and I am still learning all the capabilities of the camera. It is far more durable than it looks. Nice job Apple!",5,2019-10-05 07:47:00
"7","Very happy.","This phone does everything. Best cameras and best everything.",5,2019-10-25 18:26:00
"8","Love it.","Best iPhone ever! Elegant and functionally great. Resolution superb and battery life significant better. Ios13 makes puts me into the star week zone.",5,2019-09-27 15:17:00
"9","Love the new camera!","I just purchased the new iPhone 11 Pro Max a week ago, I have just scratched the surface of learning everything this iPhone is capable of....but I love it already! The camera is phenomenal, I love the design and the 6.8” screen size.",5,2019-09-28 08:16:00
"10","I always been a apple head but i just love ever","This phone is beautiful, i have 2 max pros and 1 XSMax it’s a big upgrade for me even if nothing changed. Lol but seriously it’s a cool phone.",5,2019-09-27 15:44:00
"11","I went max and it is beautiful","Received mine yesterday and after been using apple products for over 10 years, I must say this one is the best so far. The correct size, the cameras are superb and feels good in the hand. Waiting for xmas to get the apple watch 5.",5,2019-09-24 05:33:00
"12","LOVE IT SO FAR","Upgraded from an xs max and I’m in love with it so far !",5,2019-09-21 10:29:00
"13","iPhone 11 Pro Max Extreme lens flare issues","I'm having extreme lens flare issues and any little light situation, I can't get this resolved. I've tried Apple, they replace my phone with refurbished one, then they replace my lenses but still I'm experiencing the following;

Pictures 
https://youtu.be/HAUb-gKR34A
Video 
https://youtu.be/N4RO3iscZA4",3,2019-12-15 00:12:00
"14","11pro max","Love the bigger screen. The camera is great, still learning. 
The battery is much improved.",5,2019-12-27 19:26:00
"15","Amazing Device!!","First thing: the camera is Amazing! Specially in portrait mode creates a beautiful shallow background isolating the subject nicely and actually looks natural! Screen resolution is incredible for watching movies that have night scenes the darks and shadows are rich with lots of contrast ! I upgraded from the 6s plus that was also an amazing phone but the 11 pro blew me away!",5,2019-11-24 09:11:00
"16","Best IPhone Yet","Remarkable features and sleek design with a powerful clear camera. The balance and weight of the device is fundamentally sound. Truly the fastest processor on any iPhone to date. Worth the buy/upgrade.",5,2019-12-14 12:30:00
"17","Amazing Camera & Battery","So, at this point if you are not familiar with iOS and what iPhones are all about here comes a short summary. Apple iPhones are normally great hardware, build quality, and easy UI. Unlike Android, normally you don’t hear spec sheets on iPhone. RAM, battery size, processors are usually a mute point because they iPhone run iOS which can’t really compared to Android. Don’t get me wrong I’ve used many, many Android phones (most recently the Samsung Note 10+) and they have some amazing phones, with equally amazing cameras, and features. 

So, what sets this iPhone apart from the ones that have come before, even the XS, is the cameras are a huge step forward, and they battery is hard to kill. Most phones take great photos in optimal lighting conditions. What sets phones apart is how they handle low light, or night photography. Here is where this iPhone really shines. The images that this device is able to capture with little light is amazing. With Deep Fusion around the corner, you will also see an increase in detail in most photos that don’t use the Night shot mode or HDR. The battery holds up amazingly well. Even after a day of heavy usage, screen on over 8 hours I am able to end the day around 20-30% easily. I usually unplug around 6am and plug it back in around 10-11pm. Never do I feel like I need to top off the battery for fear of not making it through the day.

Everything else on the phone is still great, but not what I would consider a huge step up from previous models. Screen looks amazing, super bright in direct sunlight, Speakers are great, sometimes I forgo my Bluetooth speaker and just use the phones speakers. The matte glass back feels great, but most people won’t see it since most cover it up with a case to protect this investment. 

I would definitely recommend this to anyone, especially those already locked in to the Apple ecosystem. Apple’s iOS 13 is great, and offers some great features, but that isn’t specific to this phone so go and upgrade your old device first to see what you are getting here. I am very happy with my upgrade.",5,2019-10-20 14:20:00
