"","Heading","Text","Rating","Time"
"1","great phone","Great phone as expected for the latest iPhone , got it for the wife and she has no complains about it.",5,2020-01-21 13:08:00
"2","Best iPhone yet","Simplicity meets need.
One rugged price of equipment.
Still has the same kinks like the face unlock doesn’t work when your driving Or at an angle and people will see u putting in your passcode If it doesn’t work.
These are easy fixes. It could use multi tasking otherwise the best speedy  and beautiful.
Too expensive .",4,2019-10-18 17:04:00
"3","This iphone takes great picturesIt takes time to g","It takes a little time to get use to this iPhone, because it no longer have the home button you have to swipe.",5,2019-10-22 07:07:00
"4","Fantastic camera","I love the pictures this phone takes. It met the mark on almost every level.",5,2019-10-18 15:30:00
"5","Very good camera and battery","Loving this iPhone it’s pretty good quality and the battery is very good as well my phone stays pretty much changed all day",5,2019-10-29 23:42:00
"6","Cameras!","This phone is amazing and so user friendly. The images it captures at night are spectacular.",5,2019-10-14 16:05:00
"7","Great overall","I love the camera, is fun and when recording it’s awesome!!!!!",5,2019-10-12 11:55:00
"8","The phone keep crashing","The constantly crash so planning on return it before my 14 days expored to get another one",1,2019-10-05 07:29:00
"9","Great value dollar per dollar!!!","This new iPhone separated itself from the rest, is lighter, it feels right on the hand. The transition from a physical button to a digital operation is painless.
I will recommend this iPhone to anyone with an iphone 8 and below. Newer phones are very similar but I will still say the iphone 11 pro is a better phone.",5,2019-10-11 23:33:00
"10","Great Phone that scratches easily","I love the phone, especially the camera. After upgrading from a 7 Plus, I got used to the new gestures and lack of home button very quickly. The only negative I have is that, after having several iPhones and never using a screen protector, after less than 2 weeks, my screen has a scratch deep enough for me to feel with my fingernail. I have no idea how it happened because I've treated it the same as all other non-scratched phones. It's bothering me to see so I guess I'll have to put a screen protector on it. Maybe it'll hide the scratch. There is a discussion about it on the Apple page as well. I recommend the phone, just go ahead and put a screen protector on it from the start.",5,2019-10-25 21:44:00
"11","Awesome phone.","It’s been seven days with it and can say that it is a great iPhone 
I come from an iPhone XR that i had for barely 4months, it’s crazy!
Prior to that i had an iPhone 6 for 5 years and an iPhone 4s for 4 years, so am not exactly a compulsive iPhone buyer hehe, The only reason that I switch my XR for the 11 Pro was the camera AND because i had the chance to get a good deal on it, but the iOS its great too. i was one of the lucky ones that didn’t get pesky bugs with it. I don’t know how to really describe it all i can tell that so far this is an awesome phone. The pictures it takes look professional, videos and games vey crisp, of course everything else is good too, calls, Bluetooth connectivity with my devices is great no drops, Siri is more intelligent now.so much that am actually using it. Am just a happy iPhone owner the kind of happiness that only iPhone owners know, if you have a chance to upgrade don’t hesitate, you wont regret it.",5,2019-09-27 18:08:00
"12","Great for people who love taking photos!","I know this is said every year but this is truly the best iPhone camera Apple has ever made! In addition to that, the battery is incredible. I can go a whole day without needing to worry about charging it. If you’re fan of gaming on the go, the new selection of games on Apple Arcade look absolutely beautiful on this giant screen. With the new processor, some of these games can almost stand up with console games in terms of graphics and quality. And lastly, the phone itself is absolutely beautiful to look at and hold. The three cameras took some getting used to at first but now they look great imo.",5,2019-10-19 11:55:00
"13","Amazing camera!","Decided to upgrade from iPhone X. Amazing quality only Apple provides. Longer battery life, unbelievably fast, and pictures are amazing! Previous iPhone cameras were not good in low light or in settings with bright sun in background. Pro max delivers amazing photos and videos in all lighting. Wife initially upgraded to the Note10+, but changed to a Pro Max for the overall functionality and camera.",5,2019-10-05 03:37:00
"14","The bomb battery  liiiife","I’m enjoying my upgrade I had the XS and I must say the battery life on this phone is the best one to date! The new square and battery upgrade was needed! I enjoy the cameras yes they’re lovely being that I’m a selfie gal but the battery is where it’s at period for me!!! I left it off the charger for a entire day and tada my phone didn’t die out! I’m a heavy user but during this time I kept it basic normal lighting, texting was over the top and I’d say social media 6 hours  off and on. My battery went down to 10%. I’m impressed!",5,2019-10-18 16:12:00
