"","Heading","Text","Rating","Time"
"1","Great at everything!","Recently tried my hand with the galaxy S10+, it was a really good phone but I was missing my iPhone.  So I ordered the Pro Max after reading the improvements.  While it looks extremely similar to the last gen iPhone it’s so much more.  The cameras are phenomenal, better than my galaxy by far in pictures and video.  The speed and smoothness of IOS is unrivaled by any operating system I have tried.  Oh and the battery... I can’t believe this is an iPhone, I’m a very heavy user and can make it all day easily without having to worry about having a charger near by.  I was highly impressed with the S10+ battery, the iPhone exceeds what it could do.  I’m not thrilled about the price, but if you’re here you already the iPhone is very expensive.  If you’re on the fence and have the money available just go ahead and do yourself a favor and upgrade.",5,2019-11-01 21:31:00
"2","UNREAL!!!!","The camera upgrade on the iPhone 11 alone should be enough for anyone to WANT the new iPhone, but there is so much more!!

Faster, more powerful, easier access AND noticeable better battery levels!!!!

But the camera must be used to be fully appreciated!!",5,2019-10-04 17:04:00
"3","The best feeling iphone I have ever owned!","I upgraded from a I phone x to the iPhone 11 pro max. I wasn’t expecting much of a difference besides the camera, but it turns out that it is a huge difference. I’m a web developer and I do a lot of work on my phone, and the iPhone X would sometimes get sluggish. The iPhone 11 pro max really handles well under pressure, and the quality is overall excellent.",5,2019-09-21 20:37:00
"4","Wow Factor","The camera is superb my dslr has very little if anything on this camera and the usability is amazing",5,2019-09-27 15:26:00
"5","iPhone 11 Pro Max","Exceeded all my expectations. Faster, more elegant the silver is beautiful and the green – my choice-  beautiful. The camera is indescribably so much better. Well worth the upgrade or the general expense to change over. Apple outdid it self.",5,2019-10-26 21:01:00
"6","Love, Love , Love","Love my iPhone 11 pro max!!! The best iPhone so far .... the camera is amazing !!!",5,2019-10-18 16:19:00
"7","PERFECT PHONE","Love love love the iPhone 11 Pro Max the can quality is awesome!!",5,2019-10-11 16:01:00
"8","This is just the best","I really love this phone the best purchase I’ve made so far as far as a purchase of a new phone",5,2019-09-30 00:01:00
"9","Definitely the best iPhone to date...that camera","I was unable to find the iPhone 11 Pro Max anywhere. They were out of stock everywhere ya looked. I was able to locate a few gray ones in 64 GB at the Best Buy in Chapel Hill.

Dylan Seibel was a great help if I may add. He knew all the ins and outs and details to get me the best deal on a trade in / port to Verizon.

Got $450 for my iPhone 8 Plus. Got a $200 MasterCard gift card, and free Unlimited Apple Music for the term of my contract.

Do auto-pay and get another $10 off. Veteran? Get another $15 off monthly.

Can’t beat it.

Oh. And that camera on this model is: Wow. I posted some sample pics I took. Battery: Another wow. Love the OLED super bright screen, too. If you’re on the fence, jump over it. You won’t regret buying the IPhone 11 Pro Max.

Thanks, BestBuy / Verizon / Dylan Seibel.",5,2019-10-04 16:38:00
"10","Yes","It’s a very awesome phone the best one I ever had so far",5,2019-10-25 21:38:00
"11","A lot of the same with some goodies mixed in","The phone is very familiar if you are A long time iPhone user, the camera is very very good especially video recording in 4K and stabilization, the speakers are top-notch. The battery lasts all day no need to charge which is great. My only gripe with the phone is the weight increase is noticeable and sometimes uncomfortable But I do recommend it",5,2019-10-05 14:25:00
"12","Best iPhone I’ve own","Cameras are amazing for a cellphone battery life is all day and then some screen is bright and crisp well worth the upgrade",5,2020-01-04 00:12:00
"13","Love the camera lenses!","Took this phone as well as my Nikon camera on vacation to Arizona and Nevada. The pictures on the phone were of such great quality that I put away my Nikon and only used the camera on the phone.",5,2019-10-18 16:40:00
"14","LOVE IT!!!","I typically don't upgrade in a year, but I wanted to upgrade to the phone from my XS Max Plus due to the added camera features before my trip to Iceland.  I'm so glad that I did.  The picture quality is amazing!!!!  Love that the 10 second low light exposure feature allowed me to get decent shots of the Northern lights.  I cannot get over the quality of photos this phone has!  No regrets!",5,2019-11-12 11:08:00
"15","Fantastic upgrade that is surprisingly worth it","Coming from an iPhone XS Max, I didn’t to be wowed by the iPhone 11 Pro Max. But after using it for a couple of weeks, I have really appreciated the improvements that have been made. The battery life is the best I’ve seen in an iPhone. I’m getting whole day battery life with the screen brightness at 1/5 the bar, a big improvement to the XS Max which I kept the brightness lower. The cameras are also greatly improved, which the ultra wide lense and Night Mode have made taking pictures more fun and satisfying. The front camera finally brings a wider camera making group pictures much easier to frame. The loss of 3D Touch is unfortunate as I really enjoyed using it in different ways, but I would rather sacrifice it if it means we continue to have much larger batteries going forward. The other differences such as the newer processor aren’t really noticeable but are likely important for more strenuous tasks and device longevity. Finally, the midnight green color is great.

Honestly I don’t think everyone should upgrade to this iPhone if their current iPhone is working fine. I upgraded because I lack self control and like having the latest, greatest iPhone. But if you are moving from a 8 or older, you’re in for a treat.",5,2019-09-29 22:50:00
"16","Battery Life and Camera’s are top notch!","I jump back from Android and iPhone fairly often. I feel confident that iPhone 11 Pro Max is sticking around for a while. The battery life is amazing! It’s one thing to hear about it, but another to see it in action! The battery lasts all day and that’s with me checking Facebook, Instagram, Snapchat, Twitter pretty often along with using FaceTime and YouTube. I only need to charge when going to bed, but if I needed to charge because I’m heading somewhere the fast charging is super fast. Coming from a Pixel 3XL I’m no stranger to fast charge, but this seems much faster. 
Oh and the Camera’s. They are so great! I was apprehensive about leaving my Pixel’s camera behind especially with family moments and young kids, but the iPhone camera is really amazing. And the night shot feature is really good as well! 
The phone itself is iPhone. iOS, icons, notch, etc. none of those things are negatives for me, but consider that too when choosing between camps. 
Oh 1 more thing... the sound!! So loud and very good with the 3D feeling of the sound. It’s all software I’m assuming, but those speakers had me turning left and right even when watching a YouTube video! Great speakers! I thought I would miss forward facing speakers on my Pixel, but these are so good and loud!",5,2019-09-27 16:02:00
"17","Very happy with this phone.","I upgraded from an XR and can say this phone was a nice upgrade over that model and really enjoy using this phone.

The screen looks nice and pictures are awesome, but the real story here is the battery life. While the XR had great battery life the 11 Pro Max has phenomenal battery life. Apple has always done a great job  with standby battery usage, but the battery would drop quickly with heavier usage. The XR was better, but this Pro Max does not have that issue at all. I believe it is a combination of the larger battery and A13 chip efficiency. Consumer reports is reporting 40 hours of simulated user usage with the Pro Max versus 29 hours with the XS Max. 

This was an upgrade I was on the fence about, and honestly did it so I could pass the XR to my son. I had planned to wait until next year. 5G is not a big deal for me and my son needs a phone now. I also needed the 2x zoom on the camera. I like the 11 Pro Max has the lightning connector also since I have other devices that have the same connection. I can say the battery life and camera made the upgrade worth it. I am also glad I sprung for the 512 GB version because I am going to keep this phone for a while.",5,2019-10-05 03:18:00
"18","Another Great Release","I’ll admit that I remain an Apple fan due to everything working well together and for it just fits my needs. This new one is definitely faster and new iOS makes it more intuitive. Camera is definitely better than the already good on in the XS Max and battery life is definitely better. Holds up after heavy use all day so far. If you want better battery life and camera upgrades this is headed in the right direction. iPhone XSMax pictures are amazing and who wouldn’t want longer battery without having to use battery packs.",5,2019-09-23 00:33:00
"19","Its All About Preference","I used to work in the mobile section at best buy (between 2015 and 2018) and the iphone honestly hasnt evolved too much since around the iphone 6s. This isnt a bad thing honestly. Instead of striving for innovation they strive for perfection. The iphone is sleek, clean, and easy to use where as android is complex and customizable. When looking to purchase this phone I would base off what you currently have and what youre looking for. Iphone is very surface level and android lets you dive deep. At this point in the phone game it falls to preference. Both are great but I prefer iPhone and the apple ecosystem.",5,2019-12-26 16:03:00
"20","iPhone 11 Pro Max","I originally wanted the Midnight Green but they sold out, so settled for the Space Gray, and I love it, my iPhone 10 Max was Space Gray as well. The battery life on this is the truth, I can literally get a entire day out it, and that’s including watching videos, playing games, and Surfing the web and social media, and Apple including the 18watt battery charger which is THE TRUTH meaning it WORKS I was like 13% late one night I plugged in the 18 watt charger And went from 13% to like 35% in like 15 minutes , IOS 13.1",5,2019-09-27 16:48:00
"21","Superior Customer Service","The phone is amazing, as normal with Apple, but this post is more about my experience than the product. Best Buy sent me a great offer to trade in my iPhone X to get direct credit towards the purchase of an 11 Pro if I preordered. They gave me a great offer for my trade in, so I went ahead and accepted the offer. When I went to pick up my new phone, it refused to activate, and ended up being a system issue on. Verizon’s side. To make a long story short, I was in the store for about 5 hours while the mobile team did everything in their power to try and resolve the issue, but they were unable to. We ended up having to cancel the order and reorder a different phone. The perseverance and customer service that everyone from the mobile team showed me was AMAZING, and despite the frustration with the activation issue, I am even more loyal to Best Buy because of their hard work and great attitudes. Thank you to Lauren, Mikeah (spelling?), and Store Manager Tim.",5,2019-10-13 16:43:00
"22","All around GREAT iPhone! Worth the upgrade.","Coming from the iPhone XS Max makes this upgrade not as big as coming from an older model such as the 6S or 7,8 Plus however I’m still glad I upgraded. 
You can see the deeper contrast in the screen compared to the X, and XS. The cameras are amazing and the battery life is GREAT! depending on your use, I’ve been able to go two days without charging. The speed and smooth operation of the phone is what can be expected with a new iPhone and A13 chip. If you have an older plus model or even the X or XS I would definitely upgrade if you can afford it. Reception is also better than the XS Max.",5,2019-10-05 23:08:00
"23","Great camera","easy to Use
Good camera
Nice sounds
But heavy..
Thats the only thing i dont like with this..
But all in all is good",4,2019-12-13 17:34:00
"24","The iPhone 11 Pro Max is great.","Short and sweet the phone is great.  I was impressed to see how fast and easy it was to set up.  That is once I got past an issue.  The phone I wanted, in Space Gray, was not in stock at the Best Buy store and had to be mailed to me.  It turned out the the Verizon SIM card that was included could not be recognized.  A Best Buy Support rep tried to help me and was unsuccessful.  I have to go to my local Verizon store to get help with the problem.  Turns out they only had to swap the SIM from my current phone to the new iPhone and subsequently everything went well with the setup.  Then came the next issue when I found that I couldn't make calls and would get a Verizon error message that the account was not active.  Fortunately a quick call to Verizon had this problem resolved.  I don't know why the Verizon support rep didn't think to check on that.",5,2019-10-05 13:13:00
"25","From android to iphone","My family have converted me to a IPhone user. I have been team android for many years. It was time for an upgrade so I finally convert to Apple. I am very please so far it has only been a week using my iPhone 11 pro max. I am still trying to navigate using this iPhone. It takes some getting use too not having an actual back button and the actual vibrate option. That is the reason for my rating of average on the ease of use.
Overall, once I become comfortable with using the iPhone I sure I will be please and never go back to an android phone.",5,2019-12-06 15:44:00
"26","Loveeeee","I’ll be honest when this phone first came out I hated it & thought the 3 cameras were ugly but then I warned up to it and it’s perfect
Not too sure on all the camera features but it dies take amazing pictures especially at night time.. we the flash it doesn’t even look like it was completely dark",5,2020-02-01 10:29:00
"27","Nice upgrade for 8+ and x users","I have an XR on my business phone and would say that this is a small upgrade from last years phones unless you are a camera person. So upgrading from a XS,XSM, or XR is less likely that you will see huge improvement or need to upgrade. The one big difference I saw from my iPhone X is the battery life on the pro max is fantastic. I pull my phone off the charger before going to bed and I can still get through a whole day work day and not needing a charge until around 9-10pm. I would consider myself a power user as throughout the day I have emails, spreadsheets, and YouTube streaming in the background for 4-5 hours amongst other items. The cameras are a big improvement and really close the short fall they had in low light photography. The iPhone went from not competing in low light to trading blows with what is considered the best camera on a smartphone the google pixel. I can honestly say I’m not regretting my purchase and if you have a iPhone X or later the small improvements will make you happy with your purchase.",4,2019-10-04 22:23:00
"28","Fantastic Product!","This is a premier product. The wide angle lens is one of the original wide angle lenses and really adds the ability to get The Big picture. I've been wanting that feature for a while and comes in handy when you just can't backup any further due to obstructions. As for the other two lenses and the overall camera quality, it's fantastic.

I own other phones as well. Android is great, but if stability in updates is what you want, and you want the updates to keep coming - you can't beat Apple.

Remember this - Apple produces the OS and the iPhone. The two are mated together and maintained to high standards.",5,2019-11-15 17:13:00
"29","best Iphone yet","I have been using an iPhone 8plus and was very happy with everything , once this product was launched I just wanted to see one and experience the screen and camera. Let me say that if you do not have an iPhone X or above then you are missing out 
the screen is amazing and the new bionic chip makes using the phone and apps feel like the first time I used an iPhone, it is that much better. Last if you are not using best buy for all you electronic needs you need to switch and really look into what they do and how good their customer service is.  Apple has out done themselves!",5,2019-11-22 16:21:00
"30","Upgraded from iPhone 8 Plus","I have had this phone for about two weeks now and so far it’s been great.  I upgraded from an iPhone 8 Plus.  The screen has better resolution, the camera is great (for a phone).  One of the main things I like about the new phone is that it’s the size of my old iPhone 8 Plus but with a larger screen that’s sharper.  I have also noticed this phone is a tad quicker to load apps with the new processor.

One thing that I thought was going to be a problem for me is the lack of the home button on my other iPhones, but I was able to adjust after a day of using the phone.  Also the Face ID feature is a cool update and I have adjusted to this.

I would recommend this phone, just wish apple would calm down with the prices!",5,2019-10-20 19:34:00
"31","Worth the Upgrade","First off S/O to Best Buy for not only having the phone in stock but having in my case Verizon experts in store. I’d like to start off by saying that the phone exceeded my expectations. As we all know phones nowadays are pretty much the same each year with minor updates (Android or Apple).As this may be true for this year’s model it still surpasses all previous generations. From the OS to the fast charge and yes even the obvious. The three cameras on the back which for me (a loyal phone photographer) is my favorite feature and update. The camera quality is beyond amazing. Anyway before I keep going on about how great this phone is go on in and buy one for yourself you wont regret it!",5,2019-10-26 05:36:00
"32","New to Apple","I’ve been an Android user and this is my first Apple product. The switch is very easy, I find most everything to be very intuitive and user friendly. I can’t wait to dive into the triple cameras and see what I can create. The phone is very stout and feels expensive... and it is.",5,2020-01-31 15:49:00
"33","The cameras make it unbelievable","I purchase a new iPhone every year and every year I am amazed at what Apple does with every new upgrade. Granted, some people say that some upgrades have been ho hum but this year Apple has come across with some game changers. The first big change is the cameras, they have to be experienced to be believed. The battery life is over the top improved. For most of my previous iPhones I purchased a battery case because they didn’t quite make it through the day but that won’t be necessary with this one. This phone has at least 30% battery at the end of a very heavy day of use. If you are an iPhone person, you have to seriously consider this one, it’s a true joy to behold.",5,2019-10-04 18:59:00
"34","Love the iPhone 11 Pro Max","I upgraded so that my husband could have my “old” iPhone X. The biggest change in this new phone was the three cameras, but I haven’t used the special features that much. This one also has the bigger screen, which I love because it’s much easier for me to see and text on. I’m a big fan of Apple products because they all connect to one another and that makes it easier for me to sign into websites and apps across multiple devices. The price is high of course, but I was able to use some of my Best Buy rewards to help with that.",5,2019-10-26 16:34:00
"35","A new adventure from Androis","I've owned a Samsung Galaxy from the first one they made.  I was very disappointed with the 7th generation but lived with it for several years.  I finally moved over to an iPhone and am very pleased with it.  The battery lasts forever!  The FaceTime feature is fun.  The only downside it that I had my Android completely customized with ringers and notifications for specific people in my contacts.  I highly recommend this phone!",5,2019-11-22 18:04:00
"36","Loving It","By far the best iPhone I have had (it should be since it is the newest one) but what really impresses me is the extremely long battery life (I normally drain my battery by the afternoon because I am a heavy user of the phone but this phone lasts two days before I need to charge it) and the low light ability of the camera. I have been using Verizon with this phone and I now have better service with this phone and am getting 165 mbps on 4G LTE in some areas. It really is a great phone and is super fast.",5,2019-10-30 09:19:00
"37","Overall best iPhone ever!!!","I have had both iPhone and android phones and i continue to come back to iPhone. Overall great built. Sturdy in hand and cameras are AMAZING!!! Great pictures no matter the lighting. Priced a bit high but as they say, you have to pay to play.",5,2019-10-11 19:14:00
"38","Awesome Phone","I upgraded from a iPhone 7 plus to a iPhone 11 Pro Max and it is a big difference.  I had an adjustment with the 11 and no home button.  The quality of the camera is phenomenal.  However I did notice the 11 is slightly heavier than my 7 plus, but the size is the same.  I do like the fact that you don't have to press the home button twice to get all the open apps.  On the 11, you just swipe up on your bottom tool bar and all the apps that are open appear.  Overall I am thrilled with the 11.",5,2019-10-26 11:04:00
"39","Unbelievable battery life!!!","Absolutely love this phone!! Camera is mind blowing and best of all, you get all day heavy battery life and that’s #1 to me!",5,2019-09-21 17:02:00
"40","Best I phone yet!","Such an amazing product from Apple. Of you’re on the fence about upgrading take my advice and do it ! The camera, the battery, the specs... all of it is worth the buy.",5,2020-01-31 18:47:00
"41","A nice upgrade!","I upgraded an iPhone 8+ to the iPhone 11 Pro Max and I’m thoroughly enjoying it. The camera quality is excellent, It’s very fast,  and feels very nice in the hand",5,2019-09-20 16:26:00
"42","so far we love it","the camera is why we decided to upgrade and so far we are not disappointed.... i just hope the battery life stays as good as it is now. a few changes make for a little bit of a learning curve and alot of youtube watches to figure out how to do simple things and im not happy it does not come with the headphone/ charge combo jack and that i have to buy it on my own... for 1500 it should be included.... but thats apple for ya...",5,2019-10-25 19:16:00
"43","so far its great","the camera is why we decided to upgrade and so far we are not disappointed.... i just hope the battery life stays as good as it is now. a few changes make for a little bit of a learning curve and alot of youtube watches to figure out how to do simple things and im not happy it does not come with the headphone/ charge combo jack and that i have to buy it on my own... for 1500 it should be included.... but thats apple for ya...",5,2019-10-25 19:15:00
"44","Upgrade from iPhone XS Max","I had the silver iPhone XS Max and was going to skip this iPhone 11 Pro Max, but the cameras and sound quality is much better. I loved my XS Max, but I love this iPhone even more. For me I want the best quality in cameras, but if that does not matter to you, you may want to wait until next year. However, the battery life on this thing is astounding! A but heavier and thicker than last year, but that's what we wanted to get a bigger battery!",5,2019-10-20 09:07:00
"45","Great Iphone.","Best iphone ever.  Improved face id. Fast processor. Great green Matt finish.  IOS13 is great.  Switch from S10 plus.  Only negative is too heavy which gives limited case. Also slightly wider than S10 plus.",5,2020-01-15 17:20:00
"46","It's good but...","I switch back and forth between iPhones and Galaxy Notes. There are Pros and Cons with both. I LOVE iPhones because they just work! Hardly ever bugs. My work apps run faster and smoother. I just always have 100% confidence in the device. But the Cons from switching from the Note 9, this thing is heavy. It's really heavy compared to the Note 9. And it's also big. I'm a big guy with pretty big hands and I can't comfortably reach all corners with one hand. But this thing works so well that the Pros out weigh those Cons. It's not perfect but I'm happy with it.",4,2019-12-11 19:42:00
"47","Apple has continued!!","I have had Samsung and apple. I know both are constantly competing. For me, iPhones have always been my favorite. This phone is no different. From the facial recognition to the camera to the speed of loading. This phone has been spectacular.",5,2019-12-31 17:15:00
"48","Wow","I am not a ""fanboy"" of either Apple or Samsung, In fact, I own Motorola, OnePlus, and even Essential devices. It was not my intention to purchase this upon my BB visit. However, I am very pleased I did. The camera and its features are terrific. The build quality is what you would expect from Apple, outstanding. No lag moving through apps. Pricey=absolutley. Disappointment with the value=absolutley not.",5,2019-10-26 09:53:00
"49","Awesome phone. Best Buy sale price, too","The is a great phone. I took advantage of Best Buy's sale price plus the trade in allowance for my iPhone 7 Plus. Stephen at the mobile counter made sure that everything was transferred from my old phone before wiping it out.",5,2020-01-03 16:40:00
"50","Excellent phone. Great camera and snappy performan","Upgraded from a 6s, so of course I am impressed. My wife wanted me to update so I could send better photos of our son, and this phone definitely does not disappoint. While the camera appears to be the main marketing point, the phone itself performs great. It takes some getting used to the lack of home button, but the facial recognition seems to take care of any delays for unlocking the phone. Very happy with my upgrade",5,2019-10-18 16:13:00
"51","iPhones-they just work great!","We’ve been using iPhones for years, and it was way past time for an upgrade.  My wife and each upgraded our phones at the same time, and really enjoy these latest models",5,2020-01-24 16:27:00
"52","Best iPhone ever","I love this new iPhone.  I traded in my iPhone 7Plus and it was worth the upgrade. 

The triple lens camera with night mode, 4K video are amazing, and of course the speed is sweet. The updated Face ID has been I joy. You can lie it down and it reads your Face ID smoothly.  The missing items was reverse charging and 5G, but the 5G is still new maybe by 2021 it will be more mainstream.",5,2019-10-26 00:34:00
