"","Heading","Text","Rating","Time"
"1","Love This Phone!","Perfect phone. I didn’t need the newest model to be happy. I had one like this and lost it, so it was a good buy and very happy I have it again!",5,2019-11-22 17:59:00
"2","Great Iphone for Everyone","My Iphone 6 took a bath and I felt the best place to buy a new phone would be Best Buy.  I felt very comfortable shopping here because I knew I would get all the help I needed.  Love Best Buy!
Love my new Iphone 8...",5,2019-11-18 06:37:00
"3","Great phone for the price","Great phone for the price very easy to use and it does everything I wanted to with lots of storage",5,2019-01-17 17:23:00
"4","Great phone","This phone will do everything my laptop can do and more.",5,2018-07-20 14:23:00
"5","Very style and easy to use!","I love my new phone. Love the slim style and ease of use. With 256 GB, I have plenty of space for all of my needs! Takes great photos too. I got a great deal on this purchase.",5,2018-12-22 01:24:00
"6","Great Camera","As the iPhones have evolved, so have the cameras. The optical zoom feature, up to 10x, is great. I took a sunset photo of the Pacific with a resulting photo that rivals my digital camera (which is why I rarely use that camera).",5,2018-02-22 07:52:00
"7","Great phone, good size (not TOO big); no probs.","Upgrading from an old iPhone 5s, only thing I really had to adjust to was the new home button and the sleep/wake button being on the side rather than on the top.  At first, because of sleep button being on the side and the way I hold the phone, I found that I would also depress one of the volume buttons at the same time as e sleep button, so it wouldn't work - quickly realized what I was doing and that there was nothing wrong with the phone, and am more careful now.  Significantly faster, clearer and much better sound than the old phone.  Shoulda got it sooner!  Also got it cheaper at Best Buy than from Apple.",5,2019-08-23 16:37:00
"8","Love the “home” button and size.","The staff helped me transition from an Android system to Apple. While the product is an important part, the personal service from everyone is what sends me to Best Buy. They knew the products, were courteous and gave explanations without pushing me towards an item. Once I had decided on the I Phone 8, features were pointed out and how to use them. I find the phone to be what I need and love that I have a “home” button.",5,2019-05-19 08:04:00
"9","iPhone 8 vs iPhone 6s Plus, iPhone SE, & iPhone X.","I have recent experience using both the iPhone SE and iPhone 6s Plus. The Plus model was too big since I use a case with a belt clip to carry the phone, and the SE's screen was a bit too small. I am going to compare my review of the iPhone 8 (purchased unlocked at full price and used with Verizon prepaid) mostly to the iPhone 6s Plus, but one has to understand that the SE especially at prepaid price is an excellent, outstanding phone too with almost all of the same features as the Plus!) 

Pros:

The iPhone 8 is an upgrade in a few ways. Apple includes a compare feature on its website so I won't go into all of the details, but I will try to address the ones that are upgrades to the iPhone 6s Plus. 

True Tone display does make the screen easier to read because the lighting isn't as harsh. This is coming from someone who has vision problems and prefers the ""daylight"" bulbs because I need good lighting to see.

This phone features water resistance, which means one can now uses cases that might provide better protection or do not muffle sound. With that said, I use a Ghostek Nautical 2 case also sold through BestBuy. It provides great protection combined with waterproofing. Since I use hearing aids to stream audio, sound being muffled isn't an issue and people can hear me clearly.

The camera specs *seem* to be similar, but I can see a difference! The pictures are clearer, sharper, and more detailed. Also, this smaller model has the optical image stabilization for the video too. To get the best quality video, I shoot in 4K even though the final output will be in 1080p. Larger files won't take up as much room on this model thanks to upgraded compression features. This model includes an improved flash too.

The sound quality on the iPhone 8 seems to be louder and clearer. There is a front speaker too.

With my previous phones I also used battery cases. The iPhone 8 with the same use seems to get me through the whole day, but I plan to buy an external battery charger that will also allow me to charge wirelessly soon.

Neutral:

The bluetooth is supposed to be an upgrade. I am not sure if this is a hardware of software issue with iOS 11 through 11.2.1. At the time of this writing, I am having some issues with it. With phone calls, my made for iPhone hearing aids do not work as well. Sometimes only one connects. Other times I notice a periodic static or crackling sound.

Areas for Improvement:

What I do not like about the IPhone 8 is the glass back because of how it is designed. In my opinion, it is a very poor design choice, and what weighted the most heavily on my decision to knock star off the overall rating. It is almost half of the cost of the phone without insurance to replace this! The iPhone 4s has a glass back too. However, one could remove two screws and slide off the back, which means the back plate and battery were easily replaced.

A fast charging wall adapter was not included in this premium priced phone. I use a Belkin (also sold through BestBuy) or iPad one instead of the one included with great results.

Without a case, the ""gold"" looks like rose gold around the edges and several shades lighter on the back. It looks expensive and stylish, but this look disappears with a case. I miss my Rose Gold that could be seen even through a clear back case.

Comments:

I didn't wait for the iPhone X. I think the technology behind the facial recognition features is impressive. However, without Touch ID too, I am willing to wait to see how this works out and will decide again when I upgrade next time. I would prefer the bigger iPhone screen on a smaller size. The built-in portrait features are a plus, but I can do most of that with software. These three differences were not worth the price difference to me.

Overall Conclusion:

I am enjoying using my IPhone 8 with improves on previous models, and it was the best overall choice for me.",4,2017-12-24 08:59:00
"10","Works as expected.","This is a replacement for another iPhone that lost a battle with a stair step.  My daughter goes to school in another state so we went to BB on a Saturday, she received it in the mail on Tuesday, activation and set up for her was a snap, and she was up and running in no time.  It works as expected with no further issues.",5,2019-11-15 16:30:00
"11","A great Apple phone that fits in your back pocket!","I was so sad when my SE’s  recently stopped working, and I had to send it to the recycle pile.
I didn’t want a phone that was bigger than my palm & found the iPhone 8 had almost everything on my list. 
The only thing that I don’t like about this phone, although I know I’ll get used to it is, the on button is no longer on the top right corner of the phone, but on it’s right side.
It’s also slightly larger, but still fits in my hand & back pocket, which was a must for me. 
Like I mentioned before, I’ll get used to it in time. Overall, I’m very satisfied with my purchase.",4,2019-10-29 05:59:00
"12","Great Replacement for Iphone 5S","Similar in size to the previous model but twice the memory and a faster chip speed. Wireless charging ready. Easy to transfer data from old IPhone to new iPhone. My wife loves it!",5,2019-12-26 10:37:00
"13","Home Button","Good value if you want to have a phone with the home button and get into the Apple ecosystem at a reasonable price.  The phone will last 3-4 years before they cut iOS support.",5,2020-01-27 12:24:00
"14","Huge improvement over my last phone","I don’t upgrade to the latest and greatest. Moving up from a 5s to this is an amazing upgrade. Love the size and the storage capacity. No more deleting photos or songs to create more room",5,2019-12-31 15:04:00
"15","Good device for the price","I bought this as an upgrade from an iPhone 6. There’s no doubt that this is a better phone, in all aspects. It’s fast, wireless charging is a cool feature, and it’s nice to have 64 GB of storage. I do have some regret that I didn’t get the iPhone X, but it really came down to price. The iPhone 8 was on sale, at the time of purchase, and was half the cost of the X.

Pros:
- 64 GB storage is ample (at least for now). Definitely a breath of fresh air after dealing with 16 GB and constant storage management. 
- The phone is fast. The A11 chip seems really responsive. Apps open quickly, on-screen animations/transitions are seamless, and it just feels fluid in your hands. 
- It has a good camera. 12 MP is really all I need for the photos I take. It’s definitely not the best phone camera around, but is a noticeable upgrade from the iPhone 6. 
- Wireless charging. The reason I had to upgrade is because the charging port on my last phone broke. It’s nice that I don’t have to worry about wearing out this phone’s port. Wireless charging is convenient and seems to power up the phone just as quick as plugging it in. 

Cons:
- This phone feels outdated (because it is). I really don’t care too much about having the latest features and an all-screen front. But, if it wasn’t for the upgraded home button and the revised Space Gray color, I wouldn’t know if I was holding an iPhone 8 or 6. 
- The lack of a headphone jack is disappointing. Yes, I can get an adapter or Bluetooth and I will probably get used to it, in time. But, it’s kind of a pain, at the moment. 

Overall, I like this phone. It definitely lacks the modern features and ‘feel’ that other current phones have, but it is a good performer. If you are a fan of Apple phones, need to upgrade, and are looking to save some cash, I would recommend it.",4,2019-06-22 06:29:00
"16","Exactly as expected...","When you select an Apple product you have a good idea what you are getting - Best Buy gave a great price & it's exactly what my teenage daughter wanted.",5,2020-01-10 15:53:00
"17","Good phone for my teen at a fair price","this phone was on sale due to being an older model and it is a good phone for my teen - has everything available without costing an arm and a leg.",5,2020-01-12 13:28:00
"18","Great overall phone.","The phone is not the latest or greatest, however, it's a great phone for its price.",5,2020-01-31 15:17:00
"19","Great help at Best Buy","The Best Buy helped my granddaughter select the right phone phone for her. No high pressure just help. She is very happy with phone. No problems.",5,2020-01-03 18:55:00
"20","Ok","I like the size that I can easily use with one hand and store in my pocket. Lots of space for music and photos. Faster options available but I’m generally happy with it.",4,2020-01-31 10:36:00
"21","Works as expected","No issues. Works as expected. I like the convenience of picking up at Best Buy.",5,2020-01-31 09:15:00
"22","Great upgrade","So far, so good.  Much better than the iPhone 6s which wouldn't hold a charge, even after the battery was replaced by Apple.",5,2020-01-12 10:44:00
"23","Love this phone!","I recently upgraded to the iPhone 8 from a 5s. It's great. I love that Apple products are pretty seamless in terms of transitions. I had no problem starting up my new phone from a previous backup of my old phone. All contacts, apps, photos, etc. appeared on my new phone with no issue. It was an adjustment from the 5s because I had it for 3 or 4 years, but I keep my phones a long time. I definitely recommend a screen shield and nice case. Small investments that keep your phone like new for a long time. There are some cool new features with this phone that I haven't quite mastered like 3D touch and Portrait mode. 3D touch worked in the store with the sales person coaching me, but I didn't master it before I left so now I can't get it (again more so user error than anything). Also portrait mode isn't showing up in the camera options and I have updated the phone since I bought it. Other than that, I love the phone and love the service I received at Best Buy during purchase.",5,2017-12-15 11:17:00
"24","Its better than my Flip Phone!","SO I went shopping with a elderly lady who was trading in her flip phone for a new smart phone since her family thought this would be a great way for them to keep in touch. We stopped at Target first since they had a $200 gift card available when you purchased an IPHONE 8. Come to find out, Target hasn't had this phone in stock since November and the sale was void. We decided to stop at Best Buy after this, and We worked with some of the nicest people ever. They recommended the IPHONE since my elderly lady already had an IPAD and this would be the easiest conversion to a smart phone since the apps and menu are the same. I really wish APPLE had EASY MODE but we did get the ICONS and APPS bigger and everyone is happy. Thanks!",5,2019-03-16 19:49:00
"25","Excellent!","The battery in my 6s was replaced once and the new battery never stayed charged so I  wanted a phone that was the same size with new features!   The 8 was the answer!   Very pleased!",5,2019-12-06 16:24:00
"26","Love my iPhone 8","So let me start by saying I have owned this phone for a year now and it's just as great as the day I first brought it home. I went for the 256GB version because I was tired of running out of space on my old iPhone 6. No memory issues now. There is a ton of space on this phone.
Lastly, I will say my family has purchased the iPhone X and they wish they would have went with the 8. I cannot explain the reasons behind their dislike of the X other than missing the button at the bottom. Anyway, they have convinced me to stick with my iPhone 8 for as long as I can and I honestly expect to have it for several more years.",5,2018-11-28 21:23:00
"27","Excellent incremental update","I won't go into specifics about the upgrade in this iteration of iPhone (you can find all of that on Apple's homepage), however I will say the incremental upgrades are noticeable and welcomed. I use the wireless charging everyday, the screen looks much ""richer"", and everything seems to be very snappy. However, I wouldn't say this was a significant upgrade from the 7 and wouldn't really be worth it (in my opinion) to go from a 7 to an 8.",5,2017-10-29 19:44:00
"28","Terrific phone!","If you can still buy them, this one is probably a great way to get an iPhone without sacrificing limbs to pay for the bloomin thing! Excellent product, as usual with Apple.",5,2019-12-02 21:39:00
"29","great phone","easy to set up and use. replaced an iPhone 4. salesperson at best buy was great. she was very professional. Verizon was a pain as usual",5,2019-12-20 22:55:00
"30","Perfect phone","Is everything I imagined, no issues at all, I love it",5,2020-01-31 18:34:00
"31","Love it","I haven’t had an iPhone since my 4s I decided to switch to Samsung now back to iPhone I love it battery life is fantastic I use it listening to music about 6 hrs at work and after an 8 hr shift I have 85% battery life still I charge the phone every other day it’s kool not having to worry if the phone will run out of battery",5,2017-11-15 21:17:00
"32","phones & Apple watch","Salesperson was amazing!  She was so patient and answered all questions. Very pleased with our Best Buy experience.",5,2019-12-27 18:27:00
"33","Great phone","Works like a charm for me and I love the new look of it and it has been updated",5,2020-01-17 21:22:00
"34","Our first iphones,","Is is taking some time to get used to the new phones,  But with that said if you are looking at new phones you should go to best buy,  They are so much more knowledgeable than the staff at Verizon.",5,2019-11-08 18:12:00
"35","Great phone.","Very happy with the phone and the quality of service that I received at Best Buy.",5,2020-01-15 16:44:00
"36","Cool phone!!","Wasn't sure if I should switch the iOS operating system from Android or not but so far this phone has been super easy to use and feels great in the hand!!",5,2019-12-01 03:16:00
"37","Love it!","Compared this one to the 11, but for what I use the phone for, this one is perfect",5,2020-01-13 06:44:00
"38","Very easy iphone to use.","It was very easy to transisition from an iPhone 6 to iPhone 8. I very much like the finger print recognition.",5,2019-12-27 16:30:00
"39","Always an iPhone fan","This phone is bigger than my old iPhone, and I wish they still made the smaller size that fits in my pocket better. But it works well, and I got an adapter to use my headphone. Wish they still had the headphone jack, though.",5,2019-10-18 15:49:00
"40","Gift for pre teen girl working out well, perfect s","Excellent service at store.  Thank you. The phone size is perfect for her, I like it better then the larger IPhone Plus size. Yet has all the options she needs.",5,2019-11-22 15:13:00
"41","Why buy more than you need?","Daughter requested a phone for Christmas to replace her iPhone 6 with only 16 GB. Wasn’t keen on shelling out $1000 or more for an X or whatever, and 8s were being sold new in the box. Has most of the newest features, aside from facial recognition. She’s thrilled with her new phone and I look heroic. Win-win!

One cool thing about the 8 that has me wanting one is the Qi wireless charging capability. We tried it with my daughter’s new 8 and it works as advertised!",5,2018-12-28 13:00:00
"42","Great phone and price lowered","I like that it is a smaller phone then the newer ones. I have to charge it every other day. I wish it held a charge a little longer.",5,2019-12-08 11:21:00
"43","Love it","I like this phone so much, when it was time to upgrade, I got the same model.",5,2020-01-11 09:21:00
"44","Good upgrade","The battery on my I phone 5s was dying so I needed to replace my phone. I did not need anything quite as elaborate as an I phone 10 so I opted for the 8. It really liked the small size of my I phone 5 but needed to upgrade and found the larger size is fine. I appreciate the 256 GB that is available.",5,2017-10-13 18:51:00
"45","I love thIPhone 8.","Easy switch from my previous iPhone which was at least six years old. The service and expertise of the sales staff was exceptional. That is why we always shop at Best Buy",5,2019-11-08 17:02:00
"46","iPhone 8","Good price.  Frustrating experience trying to get it activated, but they compensated us and it all worked out.  Son is happy with phone.",5,2019-11-28 17:09:00
"47","Great iPhone good value","Upgraded from iphone 6, lower cost than new iPhones, work well and great value.",5,2020-01-04 09:47:00
"48","Takes getting used to","Now that I've had my phone for 3 weeks, I'm beginning to like it a lot more. My last 2 iPhones were the 5S and SE, which were smaller and sturdier. I chose the 8 because of the price and because it fits into my bicycle phone case mount. With that being said, I'm not sure I want to take my phone on bike rides (not a good idea--what if something happens), since it's made of glass. The home button works differently than the other two phones, but thankfully I got Siri every time I punched the home button too hard, and she could help me out. Once you've paid for the protective coating for the screen and found a reasonable case that seems sturdy enough to protect the rest of this slimline phone, hope that's all you have to pay for. Also, I drive an older car with a bluetooth not recognized by the iPhone, so I had to buy a different auxiliary adapter, since the lightening port is different. This just means I can't recharge my phone and listen to music at the same time.",4,2019-02-13 11:45:00
